subj,meanFD,medianFD,maxFD,total_outliers,perc_out,time_lost_min
sub-1336,0.125941105298755,0.113216124999997,0.536747015,1,0.20746887966805,0.0333333333333333
sub-1338,0.123319017216598,0.1258164,0.28106242,0,0,0
sub-1339,0.0946398945937758,0.0877131474999999,0.38399282,0,0,0
sub-1345,0.106608135372199,0.0943580000000025,0.7761755,1,0.20746887966805,0.0333333333333333
sub-1346,0.0836628880700414,0.071403208415,0.48127625,0,0,0
sub-1347,0.186595494501834,0.1725089,0.5871106,3,0.622406639004149,0.1
sub-1348,0.106725747816439,0.0899899262500001,1.27163619,3,0.622406639004149,0.1
sub-1349,0.189493853074689,0.169757395,0.801680829999995,7,1.45228215767635,0.233333333333333
sub-1504,0.171563511369294,0.156596484999998,1.11876448,5,1.03734439834025,0.166666666666667
sub-1654,0.227448083078838,0.16710728,5.2764863,25,5.18672199170125,0.833333333333333
sub-1657,0.111325743030705,0.0943775999999975,1.03115065,5,1.03734439834025,0.166666666666667
sub-1658,0.126613651811203,0.1135451625,1.51861305,3,0.622406639004149,0.1
sub-1659,0.214677190537759,0.1769904875,1.0108665,25,5.18672199170125,0.833333333333333
sub-1660,0.188718499886722,0.16270099,1.47320575,12,2.4896265560166,0.4
sub-1661,0.0801024312788383,0.07481918195,0.338223735,0,0,0
sub-1662,0.0902779711400416,0.0822315150000025,0.2948436,0,0,0
sub-1665,0.139160192070539,0.129949825,1.0392236,2,0.4149377593361,0.0666666666666667
sub-1666,0.102132792418672,0.101808955550002,0.28209177,0,0,0
sub-1802,0.170912709946888,0.14358836,0.919914005,9,1.86721991701245,0.3
sub-1803,0.168736082513278,0.142009406,0.7520158,10,2.0746887966805,0.333333333333333
sub-1804,0.142785664441701,0.13639812,0.384628680000005,0,0,0
sub-1805,0.218922287648962,0.13168122,2.14541505,37,7.67634854771784,1.23333333333333
sub-1806,0.0998826960916182,0.089230675,0.3065865,0,0,0
sub-1807,0.133653543243361,0.1034197535,2.479665914,7,1.45228215767635,0.233333333333333
sub-1808,0.0873542866545227,0.076510438,0.5005662105,1,0.20746887966805,0.0333333333333333
sub-1810,0.108721538561328,0.0827531354999974,1.110719485,8,1.6597510373444,0.266666666666667
sub-1811,0.0967577553294397,0.09187115,0.24843725,0,0,0
sub-1812,0.192571232389626,0.18965795,0.45151171,0,0,0
sub-1813,0.107747575540664,0.091925838,0.6153557,2,0.4149377593361,0.0666666666666667
sub-1814,0.132535990946386,0.12048382,0.5348562,1,0.20746887966805,0.0333333333333333
sub-1815,0.177139342571701,0.1570593329,1.8724925,7,1.45228215767635,0.233333333333333
sub-1816,0.0608218525635477,0.05240089,0.7957357,3,0.622406639004149,0.1
sub-1820,0.120212010876515,0.113767925,0.48037574,0,0,0
sub-1821,0.131305061124917,0.132153175,0.3413061,0,0,0
sub-1822,0.171434504002074,0.159897799999997,0.9420944,3,0.622406639004149,0.1
sub-1823,0.0530095866158506,0.047652025,0.17448045,0,0,0
sub-1825,0.144718030504979,0.11304343,1.062746545,9,1.86721991701245,0.3
sub-1826,0.127026930424896,0.1079344,0.446118459999995,0,0,0
sub-1827,0.198247510484689,0.187997546,0.59656945,3,0.622406639004149,0.1
sub-1828,0.17116542599751,0.13256063,1.8939001,14,2.9045643153527,0.466666666666667
sub-1829,0.11186994391813,0.111357017405,0.255645,0,0,0
sub-1830,0.102050255519502,0.0837453499999999,0.468746,0,0,0
sub-1832,0.235380308151037,0.20090751125,1.3817286,29,6.01659751037344,0.966666666666667
sub-1840,0.134067780385477,0.1334509925,0.356237,0,0,0
sub-1842,0.148970866423236,0.13994537825,1.03533655,2,0.4149377593361,0.0666666666666667
sub-1843,0.341690457485062,0.136559500000002,7.27163235,73,15.1452282157676,2.43333333333333
sub-1844,0.183848084280498,0.15332341,2.017072,13,2.69709543568465,0.433333333333333
sub-1847,0.0653333100743899,0.0629278499999999,0.36951002,0,0,0
sub-1848,0.297679030226141,0.2710579,5.05063975,22,4.5643153526971,0.733333333333333
sub-1853,0.217244195088174,0.19339375,1.06803295000001,17,3.52697095435685,0.566666666666667
sub-1854,0.116069097386722,0.0930194549999975,1.4410584915,4,0.829875518672199,0.133333333333333
sub-1855,0.18606234341722,0.164010405,0.68549465,4,0.829875518672199,0.133333333333333
sub-1857,0.188226863304979,0.172311700000002,0.927768,8,1.6597510373444,0.266666666666667
sub-1858,0.13758856869917,0.107482810000002,0.5099408,1,0.20746887966805,0.0333333333333333
sub-1860,0.0464153038435381,0.0444104624999974,0.206043827,0,0,0
sub-1861,0.119103207408008,0.0927469699999998,1.17418684,11,2.28215767634855,0.366666666666667
sub-1862,0.0760986737846472,0.059721505,1.9757252,3,0.622406639004149,0.1
sub-1863,0.136916879208299,0.12335262,1.05189822,6,1.2448132780083,0.2
sub-1865,0.194094923703527,0.166094875,1.06681725,15,3.11203319502075,0.5
sub-225,0.0921583910938174,0.0843927,0.5916292,1,0.20746887966805,0.0333333333333333
sub-279,0.0935132576199584,0.0746518499999999,1.0658685,4,0.829875518672199,0.133333333333333
sub-331,0.141015050506016,0.126309515,0.565747900000005,1,0.20746887966805,0.0333333333333333
sub-347,0.104748455859751,0.100686675,0.40567472,0,0,0
sub-226,0.0993890578646472,0.0850806174999974,0.62149032,1,0.20746887966805,0.0333333333333333
sub-209,0.141887699654772,0.12922165,0.974617600000005,5,1.03734439834025,0.166666666666667
sub-300,0.113155080285892,0.0920339324999999,1.3641907,5,1.03734439834025,0.166666666666667
sub-127,0.0865547864440654,0.0819057999999999,0.6168859,1,0.20746887966805,0.0333333333333333
sub-276,0.192725358448133,0.1369630775,3.0397764,24,4.9792531120332,0.8
sub-339,0.220596693885892,0.152078934999997,3.3787159,30,6.22406639004149,1
sub-91,0.18049861271168,0.1670956,0.751294285,9,1.86721991701245,0.3
sub-282,0.227215566927676,0.187762685,1.14310942000001,28,5.80912863070539,0.933333333333333
sub-78,0.202190349221577,0.1897117,0.62779344,11,2.28215767634855,0.366666666666667
sub-42,0.216678266238589,0.197576099999997,2.08827756,21,4.35684647302905,0.7
sub-40,0.177426224042324,0.170842,0.62162753,1,0.20746887966805,0.0333333333333333
sub-217,0.175280020651452,0.168078227500003,0.4062851,0,0,0
sub-321,0.215586568442033,0.21142455,0.6381434,3,0.622406639004149,0.1
sub-88,0.152514909721162,0.14122775,0.479509,0,0,0
sub-307,0.140946109826763,0.12999375,0.3497773,0,0,0
sub-14,0.156704066219917,0.159518075,0.558262166,1,0.20746887966805,0.0333333333333333
sub-320,0.17748320441834,0.1390046935,3.3044963,15,3.11203319502075,0.5
sub-220,0.129848118756017,0.11241375,0.9653336,5,1.03734439834025,0.166666666666667
sub-34,0.168377365267635,0.1463230825,0.772229,6,1.2448132780083,0.2
sub-248,0.182145182554772,0.173312945000003,0.906020299999995,6,1.2448132780083,0.2
sub-118,0.128833652977593,0.108085175,0.9727846,6,1.2448132780083,0.2
sub-155,0.172371770603734,0.156044875000002,0.58781172,2,0.4149377593361,0.0666666666666667
sub-71,0.226697958446058,0.184572217499997,2.4139603,27,5.60165975103735,0.9
sub-250,0.192787901796265,0.1958595385,0.4421353,0,0,0
sub-271,0.155150217553942,0.138203204749997,1.09024115,4,0.829875518672199,0.133333333333333
sub-251,0.216023073307842,0.183140125,2.6145269,14,2.9045643153527,0.466666666666667
sub-323,0.201394880196307,0.17774685,1.1523507,11,2.28215767634855,0.366666666666667
sub-64,0.16720950820166,0.15664263,0.51765935,2,0.4149377593361,0.0666666666666667
sub-353,0.262111055092531,0.2400267875,0.75332835,32,6.63900414937759,1.06666666666667
sub-81,0.158554225829875,0.12475645,3.82726165,11,2.28215767634855,0.366666666666667
sub-280,0.195292202828216,0.175134650000002,0.8016988,7,1.45228215767635,0.233333333333333
sub-90,0.201071454499585,0.184959025,0.889003,8,1.6597510373444,0.266666666666667
sub-116,0.232559228396265,0.21045249975,2.24137525,18,3.7344398340249,0.6
sub-227,0.269569209721992,0.2440029,1.41609985000001,26,5.3941908713693,0.866666666666667
sub-341,0.201214518732905,0.195888315,0.57152,1,0.20746887966805,0.0333333333333333
sub-254,0.320746444657676,0.232390305,3.8254043,55,11.4107883817427,1.83333333333333
